RelA.Amplitude,RelA.Peaktime,RelA.AUC,RelA.NOC,RelA.Duration,RelA.1st.rising.slope,RelA.Attenuation.rate,RelA.Period,cRel.Amplitude,cRel.Peaktime,cRel.AUC,cRel.NOC,cRel.Duration,cRel.1st.rising.slope,cRel.Attenuation.rate,cRel.Period,ligand
1043.505967,1.166666667,42780.65326,0,12.6,1319.860101,-45.44499952,12.6,689.4218813,1.166666667,39598.17255,1,12.48333333,505.5964072,-2.756009758,2.52,LPS10 
583.2343171,0.466666667,18500.10898,0,10.96666667,439.1694499,-25.96745343,12.6,428.1951707,0.933333333,20832.41031,0,12.6,338.6167934,-4.978491871,12.6,LPS10 
1258.621848,0.7,41773.60077,0,11.2,529.9380033,-46.63487074,6.3,622.3082263,0.933333333,33676.79004,1,12.6,534.4383734,1.462259263,3.15,LPS10 
1045.053254,0.583333333,42529.01661,0,12.13333333,831.1969066,-49.93581021,12.6,737.0907967,1.4,37212.35191,0,12.6,731.3251327,-19.85474529,12.6,LPS10 
976.973502,1.4,35379.39764,0,8.866666667,1088.723101,-67.29061136,12.6,807.8095385,1.516666667,43395.87493,1,12.6,535.780559,-7.821246906,2.52,LPS10 
717.8935089,0.466666667,20672.65069,1,10.96666667,921.7102343,-21.97173247,3.15,492.2277347,0.933333333,24180.45326,1,12.6,342.4477629,-5.046646252,2.1,LPS10 
1319.71794,0.466666667,44143.38096,2,12.01666667,1802.811767,-33.29071812,3.15,672.044994,0.933333333,31382.61371,2,12.6,630.6439095,0.322358569,3.15,LPS10 
682.1993196,0.466666667,28553.62338,1,12.6,713.733303,-0.763578348,1.8,395.9450575,1.05,25208.87984,2,12.6,123.3676676,1.483234526,2.52,LPS10 
1062.1332,0.466666667,46731.57616,2,12.6,1368.726896,-34.5485276,3.15,731.0420265,1.4,35003.00551,2,12.6,596.7847453,-13.88198254,3.15,LPS10 
1075.602422,0.7,56321.46454,1,12.6,1386.566483,-24.79146025,3.15,713.2148395,1.4,36987.22354,0,12.6,595.9316408,-4.867546162,6.3,LPS10 
1163.383821,1.283333333,51014.09474,1,11.78333333,1320.175706,-39.95275018,3.15,719.1153812,1.283333333,43611.67004,1,12.6,617.7399318,-71.57191019,1.575,LPS10 
952.7673205,0.466666667,51603.48314,1,12.6,1262.128693,-36.77277712,2.1,582.6618265,1.4,37650.5872,2,12.48333333,397.433177,5.5295828,2.1,LPS10 
1170.791903,0.466666667,48191.75035,0,12.6,917.7449984,-40.57628598,12.6,830.3921348,1.166666667,40332.76565,0,12.6,875.8256129,-19.452094,12.6,LPS10 
1633.813977,0.466666667,71410.18155,0,12.6,1261.722184,-81.11259277,12.6,1145.953457,1.633333333,50438.06251,0,12.6,736.9248519,-56.51861853,12.6,LPS10 
1140.953102,0.466666667,36533.15422,1,9.566666667,1569.630588,-69.11921532,3.15,666.5123239,1.166666667,27061.85346,1,12.13333333,561.13847,-22.67384585,3.15,LPS10 
551.7606298,0.583333333,25399.70494,3,12.6,644.990012,-4.745019002,3.15,464.1881176,1.75,21933.56756,3,12.6,196.7556038,3.184191862,3.15,LPS10 
660.2654407,0.466666667,40266.27994,2,12.48333333,816.0958993,-16.41892133,2.1,620.6670648,1.983333333,36491.95808,3,12.6,410.8953717,-1.474404818,2.52,LPS10 
835.806291,0.583333333,40280.00538,1,12.6,1074.548151,-24.72219187,3.15,507.4029117,1.166666667,23607.55658,2,12.6,362.3578256,-3.59047855,3.15,LPS10 
1327.952682,0.816666667,52184.99531,0,11.08333333,704.2655909,-65.07496359,6.3,557.9858545,0.583333333,32798.6551,0,12.6,672.1842943,2.588918311,6.3,LPS10 
1399.179463,0.466666667,49043.2924,0,9.333333333,2497.607415,-81.28934079,12.6,868.4204284,1.75,41468.10388,1,12.6,807.7439953,-25.90298213,2.1,LPS10 
1436.457077,0.466666667,52142.33244,1,8.75,1881.045495,-87.18637617,1.8,1129.930695,1.516666667,48213.77866,1,12.25,797.0164899,-38.00812636,2.1,LPS10 
1189.392555,0.466666667,34066.25754,0,8.633333333,935.9424487,-69.98718359,12.6,800.2172683,1.166666667,28982.2747,0,12.6,558.4578128,-19.19975531,12.6,LPS10 
